student_name,roll_number,email,phone,major,batch,year,status
Kyaw Zin Oo 5,2021-MIIT-CSE-043,kyawzinoo5.cse2021.043@gmail.com,09768000043,CSE,2021 Batch,3rd Year,Active
Su Myat Noe 5,2021-MIIT-CSE-044,sumyatnoe5.cse2021.044@gmail.com,09768000044,CSE,2021 Batch,3rd Year,Active
Htet Aung 5,2021-MIIT-CSE-045,htetaung5.cse2021.045@gmail.com,09768000045,CSE,2021 Batch,3rd Year,Active
Yoon Myat Thu 5,2021-MIIT-CSE-046,yoonmyatthu5.cse2021.046@gmail.com,09768000046,CSE,2021 Batch,3rd Year,Active
Kaung Htet 5,2021-MIIT-CSE-047,kaunghtet5.cse2021.047@gmail.com,09768000047,CSE,2021 Batch,3rd Year,Active
Nandar Hlaing 5,2021-MIIT-CSE-048,nandarhlaing5.cse2021.048@gmail.com,09768000048,CSE,2021 Batch,3rd Year,Active
Min Thant 5,2021-MIIT-CSE-049,minthant5.cse2021.049@gmail.com,09768000049,CSE,2021 Batch,3rd Year,Active
May Zin Win 5,2021-MIIT-CSE-050,mayzinwin5.cse2021.050@gmail.com,09768000050,CSE,2021 Batch,3rd Year,Active
Aung Min Khant 6,2021-MIIT-CSE-051,aungminkhant6.cse2021.051@gmail.com,09768000051,CSE,2021 Batch,3rd Year,Active
Thiri Mon 6,2021-MIIT-CSE-052,thirimon6.cse2021.052@gmail.com,09768000052,CSE,2021 Batch,3rd Year,Active
Kyaw Zin Oo 6,2021-MIIT-CSE-053,kyawzinoo6.cse2021.053@gmail.com,09768000053,CSE,2021 Batch,3rd Year,Active
Su Myat Noe 6,2021-MIIT-CSE-054,sumyatnoe6.cse2021.054@gmail.com,09768000054,CSE,2021 Batch,3rd Year,Active
Htet Aung 6,2021-MIIT-CSE-055,htetaung6.cse2021.055@gmail.com,09768000055,CSE,2021 Batch,3rd Year,Active
Yoon Myat Thu 6,2021-MIIT-CSE-056,yoonmyatthu6.cse2021.056@gmail.com,09768000056,CSE,2021 Batch,3rd Year,Active
Kaung Htet 6,2021-MIIT-CSE-057,kaunghtet6.cse2021.057@gmail.com,09768000057,CSE,2021 Batch,3rd Year,Active
Nandar Hlaing 6,2021-MIIT-CSE-058,nandarhlaing6.cse2021.058@gmail.com,09768000058,CSE,2021 Batch,3rd Year,Active
Min Thant 6,2021-MIIT-CSE-059,minthant6.cse2021.059@gmail.com,09768000059,CSE,2021 Batch,3rd Year,Active
May Zin Win 6,2021-MIIT-CSE-060,mayzinwin6.cse2021.060@gmail.com,09768000060,CSE,2021 Batch,3rd Year,Active
Aung Min Khant 1,2021-MIIT-ECE-001,aungminkhant1.ece2021.001@gmail.com,09768000061,ECE,2021 Batch,3rd Year,Active
Thiri Mon 1,2021-MIIT-ECE-002,thirimon1.ece2021.002@gmail.com,09768000062,ECE,2021 Batch,3rd Year,Active
Kyaw Zin Oo 1,2021-MIIT-ECE-003,kyawzinoo1.ece2021.003@gmail.com,09768000063,ECE,2021 Batch,3rd Year,Active
Su Myat Noe 1,2021-MIIT-ECE-004,sumyatnoe1.ece2021.004@gmail.com,09768000064,ECE,2021 Batch,3rd Year,Active
Htet Aung 1,2021-MIIT-ECE-005,htetaung1.ece2021.005@gmail.com,09768000065,ECE,2021 Batch,3rd Year,Active
Yoon Myat Thu 1,2021-MIIT-ECE-006,yoonmyatthu1.ece2021.006@gmail.com,09768000066,ECE,2021 Batch,3rd Year,Active
Kaung Htet 1,2021-MIIT-ECE-007,kaunghtet1.ece2021.007@gmail.com,09768000067,ECE,2021 Batch,3rd Year,Active
Nandar Hlaing 1,2021-MIIT-ECE-008,nandarhlaing1.ece2021.008@gmail.com,09768000068,ECE,2021 Batch,3rd Year,Active
Min Thant 1,2021-MIIT-ECE-009,minthant1.ece2021.009@gmail.com,09768000069,ECE,2021 Batch,3rd Year,Active
May Zin Win 1,2021-MIIT-ECE-010,mayzinwin1.ece2021.010@gmail.com,09768000070,ECE,2021 Batch,3rd Year,Active
Aung Min Khant 2,2021-MIIT-ECE-011,aungminkhant2.ece2021.011@gmail.com,09768000071,ECE,2021 Batch,3rd Year,Active
Thiri Mon 2,2021-MIIT-ECE-012,thirimon2.ece2021.012@gmail.com,09768000072,ECE,2021 Batch,3rd Year,Active
Kyaw Zin Oo 2,2021-MIIT-ECE-013,kyawzinoo2.ece2021.013@gmail.com,09768000073,ECE,2021 Batch,3rd Year,Active
Su Myat Noe 2,2021-MIIT-ECE-014,sumyatnoe2.ece2021.014@gmail.com,09768000074,ECE,2021 Batch,3rd Year,Active
Htet Aung 2,2021-MIIT-ECE-015,htetaung2.ece2021.015@gmail.com,09768000075,ECE,2021 Batch,3rd Year,Active
Yoon Myat Thu 2,2021-MIIT-ECE-016,yoonmyatthu2.ece2021.016@gmail.com,09768000076,ECE,2021 Batch,3rd Year,Active
Kaung Htet 2,2021-MIIT-ECE-017,kaunghtet2.ece2021.017@gmail.com,09768000077,ECE,2021 Batch,3rd Year,Active
Nandar Hlaing 2,2021-MIIT-ECE-018,nandarhlaing2.ece2021.018@gmail.com,09768000078,ECE,2021 Batch,3rd Year,Active
Min Thant 2,2021-MIIT-ECE-019,minthant2.ece2021.019@gmail.com,09768000079,ECE,2021 Batch,3rd Year,Active
May Zin Win 2,2021-MIIT-ECE-020,mayzinwin2.ece2021.020@gmail.com,09768000080,ECE,2021 Batch,3rd Year,Active
Aung Min Khant 3,2021-MIIT-ECE-021,aungminkhant3.ece2021.021@gmail.com,09768000081,ECE,2021 Batch,3rd Year,Active
Thiri Mon 3,2021-MIIT-ECE-022,thirimon3.ece2021.022@gmail.com,09768000082,ECE,2021 Batch,3rd Year,Active
Kyaw Zin Oo 3,2021-MIIT-ECE-023,kyawzinoo3.ece2021.023@gmail.com,09768000083,ECE,2021 Batch,3rd Year,Active
Su Myat Noe 3,2021-MIIT-ECE-024,sumyatnoe3.ece2021.024@gmail.com,09768000084,ECE,2021 Batch,3rd Year,Active
Htet Aung 3,2021-MIIT-ECE-025,htetaung3.ece2021.025@gmail.com,09768000085,ECE,2021 Batch,3rd Year,Active
Yoon Myat Thu 3,2021-MIIT-ECE-026,yoonmyatthu3.ece2021.026@gmail.com,09768000086,ECE,2021 Batch,3rd Year,Active
Kaung Htet 3,2021-MIIT-ECE-027,kaunghtet3.ece2021.027@gmail.com,09768000087,ECE,2021 Batch,3rd Year,Active
Nandar Hlaing 3,2021-MIIT-ECE-028,nandarhlaing3.ece2021.028@gmail.com,09768000088,ECE,2021 Batch,3rd Year,Active
Min Thant 3,2021-MIIT-ECE-029,minthant3.ece2021.029@gmail.com,09768000089,ECE,2021 Batch,3rd Year,Active
May Zin Win 3,2021-MIIT-ECE-030,mayzinwin3.ece2021.030@gmail.com,09768000090,ECE,2021 Batch,3rd Year,Active
Aung Min Khant 4,2021-MIIT-ECE-031,aungminkhant4.ece2021.031@gmail.com,09768000091,ECE,2021 Batch,3rd Year,Active
Thiri Mon 4,2021-MIIT-ECE-032,thirimon4.ece2021.032@gmail.com,09768000092,ECE,2021 Batch,3rd Year,Active
Kyaw Zin Oo 4,2021-MIIT-ECE-033,kyawzinoo4.ece2021.033@gmail.com,09768000093,ECE,2021 Batch,3rd Year,Active
Su Myat Noe 4,2021-MIIT-ECE-034,sumyatnoe4.ece2021.034@gmail.com,09768000094,ECE,2021 Batch,3rd Year,Active
Htet Aung 4,2021-MIIT-ECE-035,htetaung4.ece2021.035@gmail.com,09768000095,ECE,2021 Batch,3rd Year,Active
Yoon Myat Thu 4,2021-MIIT-ECE-036,yoonmyatthu4.ece2021.036@gmail.com,09768000096,ECE,2021 Batch,3rd Year,Active
Kaung Htet 4,2021-MIIT-ECE-037,kaunghtet4.ece2021.037@gmail.com,09768000097,ECE,2021 Batch,3rd Year,Active
Nandar Hlaing 4,2021-MIIT-ECE-038,nandarhlaing4.ece2021.038@gmail.com,09768000098,ECE,2021 Batch,3rd Year,Active
Min Thant 4,2021-MIIT-ECE-039,minthant4.ece2021.039@gmail.com,09768000099,ECE,2021 Batch,3rd Year,Active
May Zin Win 4,2021-MIIT-ECE-040,mayzinwin4.ece2021.040@gmail.com,09768000100,ECE,2021 Batch,3rd Year,Active
Aung Min Khant 5,2021-MIIT-ECE-041,aungminkhant5.ece2021.041@gmail.com,09768000101,ECE,2021 Batch,3rd Year,Active
Thiri Mon 5,2021-MIIT-ECE-042,thirimon5.ece2021.042@gmail.com,09768000102,ECE,2021 Batch,3rd Year,Active
Kyaw Zin Oo 5,2021-MIIT-ECE-043,kyawzinoo5.ece2021.043@gmail.com,09768000103,ECE,2021 Batch,3rd Year,Active
Su Myat Noe 5,2021-MIIT-ECE-044,sumyatnoe5.ece2021.044@gmail.com,09768000104,ECE,2021 Batch,3rd Year,Active
Htet Aung 5,2021-MIIT-ECE-045,htetaung5.ece2021.045@gmail.com,09768000105,ECE,2021 Batch,3rd Year,Active
Yoon Myat Thu 5,2021-MIIT-ECE-046,yoonmyatthu5.ece2021.046@gmail.com,09768000106,ECE,2021 Batch,3rd Year,Active
Kaung Htet 5,2021-MIIT-ECE-047,kaunghtet5.ece2021.047@gmail.com,09768000107,ECE,2021 Batch,3rd Year,Active
Nandar Hlaing 5,2021-MIIT-ECE-048,nandarhlaing5.ece2021.048@gmail.com,09768000108,ECE,2021 Batch,3rd Year,Active
Min Thant 5,2021-MIIT-ECE-049,minthant5.ece2021.049@gmail.com,09768000109,ECE,2021 Batch,3rd Year,Active
May Zin Win 5,2021-MIIT-ECE-050,mayzinwin5.ece2021.050@gmail.com,09768000110,ECE,2021 Batch,3rd Year,Active
Aung Min Khant 6,2021-MIIT-ECE-051,aungminkhant6.ece2021.051@gmail.com,09768000111,ECE,2021 Batch,3rd Year,Active
Thiri Mon 6,2021-MIIT-ECE-052,thirimon6.ece2021.052@gmail.com,09768000112,ECE,2021 Batch,3rd Year,Active
Kyaw Zin Oo 6,2021-MIIT-ECE-053,kyawzinoo6.ece2021.053@gmail.com,09768000113,ECE,2021 Batch,3rd Year,Active
Su Myat Noe 6,2021-MIIT-ECE-054,sumyatnoe6.ece2021.054@gmail.com,09768000114,ECE,2021 Batch,3rd Year,Active
Htet Aung 6,2021-MIIT-ECE-055,htetaung6.ece2021.055@gmail.com,09768000115,ECE,2021 Batch,3rd Year,Active
Yoon Myat Thu 6,2021-MIIT-ECE-056,yoonmyatthu6.ece2021.056@gmail.com,09768000116,ECE,2021 Batch,3rd Year,Active
Kaung Htet 6,2021-MIIT-ECE-057,kaunghtet6.ece2021.057@gmail.com,09768000117,ECE,2021 Batch,3rd Year,Active
Nandar Hlaing 6,2021-MIIT-ECE-058,nandarhlaing6.ece2021.058@gmail.com,09768000118,ECE,2021 Batch,3rd Year,Active
Min Thant 6,2021-MIIT-ECE-059,minthant6.ece2021.059@gmail.com,09768000119,ECE,2021 Batch,3rd Year,Active
May Zin Win 6,2021-MIIT-ECE-060,mayzinwin6.ece2021.060@gmail.com,09768000120,ECE,2021 Batch,3rd Year,Active
Aung Min Khant 1,2022-MIIT-CSE-001,aungminkhant1.cse2022.001@gmail.com,09768000121,CSE,2022 Batch,3rd Year,Active
Thiri Mon 1,2022-MIIT-CSE-002,thirimon1.cse2022.002@gmail.com,09768000122,CSE,2022 Batch,3rd Year,Active
Kyaw Zin Oo 1,2022-MIIT-CSE-003,kyawzinoo1.cse2022.003@gmail.com,09768000123,CSE,2022 Batch,3rd Year,Active
Su Myat Noe 1,2022-MIIT-CSE-004,sumyatnoe1.cse2022.004@gmail.com,09768000124,CSE,2022 Batch,3rd Year,Active
Htet Aung 1,2022-MIIT-CSE-005,htetaung1.cse2022.005@gmail.com,09768000125,CSE,2022 Batch,3rd Year,Active
Yoon Myat Thu 1,2022-MIIT-CSE-006,yoonmyatthu1.cse2022.006@gmail.com,09768000126,CSE,2022 Batch,3rd Year,Active
Kaung Htet 1,2022-MIIT-CSE-007,kaunghtet1.cse2022.007@gmail.com,09768000127,CSE,2022 Batch,3rd Year,Active
Nandar Hlaing 1,2022-MIIT-CSE-008,nandarhlaing1.cse2022.008@gmail.com,09768000128,CSE,2022 Batch,3rd Year,Active
Min Thant 1,2022-MIIT-CSE-009,minthant1.cse2022.009@gmail.com,09768000129,CSE,2022 Batch,3rd Year,Active
May Zin Win 1,2022-MIIT-CSE-010,mayzinwin1.cse2022.010@gmail.com,09768000130,CSE,2022 Batch,3rd Year,Active
Aung Min Khant 2,2022-MIIT-CSE-011,aungminkhant2.cse2022.011@gmail.com,09768000131,CSE,2022 Batch,3rd Year,Active
Thiri Mon 2,2022-MIIT-CSE-012,thirimon2.cse2022.012@gmail.com,09768000132,CSE,2022 Batch,3rd Year,Active
Kyaw Zin Oo 2,2022-MIIT-CSE-013,kyawzinoo2.cse2022.013@gmail.com,09768000133,CSE,2022 Batch,3rd Year,Active
Su Myat Noe 2,2022-MIIT-CSE-014,sumyatnoe2.cse2022.014@gmail.com,09768000134,CSE,2022 Batch,3rd Year,Active
Htet Aung 2,2022-MIIT-CSE-015,htetaung2.cse2022.015@gmail.com,09768000135,CSE,2022 Batch,3rd Year,Active
Yoon Myat Thu 2,2022-MIIT-CSE-016,yoonmyatthu2.cse2022.016@gmail.com,09768000136,CSE,2022 Batch,3rd Year,Active
Kaung Htet 2,2022-MIIT-CSE-017,kaunghtet2.cse2022.017@gmail.com,09768000137,CSE,2022 Batch,3rd Year,Active
Nandar Hlaing 2,2022-MIIT-CSE-018,nandarhlaing2.cse2022.018@gmail.com,09768000138,CSE,2022 Batch,3rd Year,Active
Min Thant 2,2022-MIIT-CSE-019,minthant2.cse2022.019@gmail.com,09768000139,CSE,2022 Batch,3rd Year,Active
May Zin Win 2,2022-MIIT-CSE-020,mayzinwin2.cse2022.020@gmail.com,09768000140,CSE,2022 Batch,3rd Year,Active
Aung Min Khant 3,2022-MIIT-CSE-021,aungminkhant3.cse2022.021@gmail.com,09768000141,CSE,2022 Batch,3rd Year,Active
Thiri Mon 3,2022-MIIT-CSE-022,thirimon3.cse2022.022@gmail.com,09768000142,CSE,2022 Batch,3rd Year,Active
Kyaw Zin Oo 3,2022-MIIT-CSE-023,kyawzinoo3.cse2022.023@gmail.com,09768000143,CSE,2022 Batch,3rd Year,Active
Su Myat Noe 3,2022-MIIT-CSE-024,sumyatnoe3.cse2022.024@gmail.com,09768000144,CSE,2022 Batch,3rd Year,Active
Htet Aung 3,2022-MIIT-CSE-025,htetaung3.cse2022.025@gmail.com,09768000145,CSE,2022 Batch,3rd Year,Active
Yoon Myat Thu 3,2022-MIIT-CSE-026,yoonmyatthu3.cse2022.026@gmail.com,09768000146,CSE,2022 Batch,3rd Year,Active
Kaung Htet 3,2022-MIIT-CSE-027,kaunghtet3.cse2022.027@gmail.com,09768000147,CSE,2022 Batch,3rd Year,Active
Nandar Hlaing 3,2022-MIIT-CSE-028,nandarhlaing3.cse2022.028@gmail.com,09768000148,CSE,2022 Batch,3rd Year,Active
Min Thant 3,2022-MIIT-CSE-029,minthant3.cse2022.029@gmail.com,09768000149,CSE,2022 Batch,3rd Year,Active
May Zin Win 3,2022-MIIT-CSE-030,mayzinwin3.cse2022.030@gmail.com,09768000150,CSE,2022 Batch,3rd Year,Active
Aung Min Khant 4,2022-MIIT-CSE-031,aungminkhant4.cse2022.031@gmail.com,09768000151,CSE,2022 Batch,3rd Year,Active
Thiri Mon 4,2022-MIIT-CSE-032,thirimon4.cse2022.032@gmail.com,09768000152,CSE,2022 Batch,3rd Year,Active
Kyaw Zin Oo 4,2022-MIIT-CSE-033,kyawzinoo4.cse2022.033@gmail.com,09768000153,CSE,2022 Batch,3rd Year,Active
Su Myat Noe 4,2022-MIIT-CSE-034,sumyatnoe4.cse2022.034@gmail.com,09768000154,CSE,2022 Batch,3rd Year,Active
Htet Aung 4,2022-MIIT-CSE-035,htetaung4.cse2022.035@gmail.com,09768000155,CSE,2022 Batch,3rd Year,Active
Yoon Myat Thu 4,2022-MIIT-CSE-036,yoonmyatthu4.cse2022.036@gmail.com,09768000156,CSE,2022 Batch,3rd Year,Active
Kaung Htet 4,2022-MIIT-CSE-037,kaunghtet4.cse2022.037@gmail.com,09768000157,CSE,2022 Batch,3rd Year,Active
Nandar Hlaing 4,2022-MIIT-CSE-038,nandarhlaing4.cse2022.038@gmail.com,09768000158,CSE,2022 Batch,3rd Year,Active
Min Thant 4,2022-MIIT-CSE-039,minthant4.cse2022.039@gmail.com,09768000159,CSE,2022 Batch,3rd Year,Active
May Zin Win 4,2022-MIIT-CSE-040,mayzinwin4.cse2022.040@gmail.com,09768000160,CSE,2022 Batch,3rd Year,Active
Aung Min Khant 5,2022-MIIT-CSE-041,aungminkhant5.cse2022.041@gmail.com,09768000161,CSE,2022 Batch,3rd Year,Active
Thiri Mon 5,2022-MIIT-CSE-042,thirimon5.cse2022.042@gmail.com,09768000162,CSE,2022 Batch,3rd Year,Active
Kyaw Zin Oo 5,2022-MIIT-CSE-043,kyawzinoo5.cse2022.043@gmail.com,09768000163,CSE,2022 Batch,3rd Year,Active
Su Myat Noe 5,2022-MIIT-CSE-044,sumyatnoe5.cse2022.044@gmail.com,09768000164,CSE,2022 Batch,3rd Year,Active
Htet Aung 5,2022-MIIT-CSE-045,htetaung5.cse2022.045@gmail.com,09768000165,CSE,2022 Batch,3rd Year,Active
Yoon Myat Thu 5,2022-MIIT-CSE-046,yoonmyatthu5.cse2022.046@gmail.com,09768000166,CSE,2022 Batch,3rd Year,Active
Kaung Htet 5,2022-MIIT-CSE-047,kaunghtet5.cse2022.047@gmail.com,09768000167,CSE,2022 Batch,3rd Year,Active
Nandar Hlaing 5,2022-MIIT-CSE-048,nandarhlaing5.cse2022.048@gmail.com,09768000168,CSE,2022 Batch,3rd Year,Active
Min Thant 5,2022-MIIT-CSE-049,minthant5.cse2022.049@gmail.com,09768000169,CSE,2022 Batch,3rd Year,Active
May Zin Win 5,2022-MIIT-CSE-050,mayzinwin5.cse2022.050@gmail.com,09768000170,CSE,2022 Batch,3rd Year,Active
Aung Min Khant 6,2022-MIIT-CSE-051,aungminkhant6.cse2022.051@gmail.com,09768000171,CSE,2022 Batch,3rd Year,Active
Thiri Mon 6,2022-MIIT-CSE-052,thirimon6.cse2022.052@gmail.com,09768000172,CSE,2022 Batch,3rd Year,Active
Kyaw Zin Oo 6,2022-MIIT-CSE-053,kyawzinoo6.cse2022.053@gmail.com,09768000173,CSE,2022 Batch,3rd Year,Active
Su Myat Noe 6,2022-MIIT-CSE-054,sumyatnoe6.cse2022.054@gmail.com,09768000174,CSE,2022 Batch,3rd Year,Active
Htet Aung 6,2022-MIIT-CSE-055,htetaung6.cse2022.055@gmail.com,09768000175,CSE,2022 Batch,3rd Year,Active
Yoon Myat Thu 6,2022-MIIT-CSE-056,yoonmyatthu6.cse2022.056@gmail.com,09768000176,CSE,2022 Batch,3rd Year,Active
Kaung Htet 6,2022-MIIT-CSE-057,kaunghtet6.cse2022.057@gmail.com,09768000177,CSE,2022 Batch,3rd Year,Active
Nandar Hlaing 6,2022-MIIT-CSE-058,nandarhlaing6.cse2022.058@gmail.com,09768000178,CSE,2022 Batch,3rd Year,Active
Min Thant 6,2022-MIIT-CSE-059,minthant6.cse2022.059@gmail.com,09768000179,CSE,2022 Batch,3rd Year,Active
May Zin Win 6,2022-MIIT-CSE-060,mayzinwin6.cse2022.060@gmail.com,09768000180,CSE,2022 Batch,3rd Year,Active
Aung Min Khant 1,2022-MIIT-ECE-001,aungminkhant1.ece2022.001@gmail.com,09768000181,ECE,2022 Batch,3rd Year,Active
Thiri Mon 1,2022-MIIT-ECE-002,thirimon1.ece2022.002@gmail.com,09768000182,ECE,2022 Batch,3rd Year,Active
Kyaw Zin Oo 1,2022-MIIT-ECE-003,kyawzinoo1.ece2022.003@gmail.com,09768000183,ECE,2022 Batch,3rd Year,Active
Su Myat Noe 1,2022-MIIT-ECE-004,sumyatnoe1.ece2022.004@gmail.com,09768000184,ECE,2022 Batch,3rd Year,Active
Htet Aung 1,2022-MIIT-ECE-005,htetaung1.ece2022.005@gmail.com,09768000185,ECE,2022 Batch,3rd Year,Active
Yoon Myat Thu 1,2022-MIIT-ECE-006,yoonmyatthu1.ece2022.006@gmail.com,09768000186,ECE,2022 Batch,3rd Year,Active
Kaung Htet 1,2022-MIIT-ECE-007,kaunghtet1.ece2022.007@gmail.com,09768000187,ECE,2022 Batch,3rd Year,Active
Nandar Hlaing 1,2022-MIIT-ECE-008,nandarhlaing1.ece2022.008@gmail.com,09768000188,ECE,2022 Batch,3rd Year,Active
Min Thant 1,2022-MIIT-ECE-009,minthant1.ece2022.009@gmail.com,09768000189,ECE,2022 Batch,3rd Year,Active
May Zin Win 1,2022-MIIT-ECE-010,mayzinwin1.ece2022.010@gmail.com,09768000190,ECE,2022 Batch,3rd Year,Active
Aung Min Khant 2,2022-MIIT-ECE-011,aungminkhant2.ece2022.011@gmail.com,09768000191,ECE,2022 Batch,3rd Year,Active
Thiri Mon 2,2022-MIIT-ECE-012,thirimon2.ece2022.012@gmail.com,09768000192,ECE,2022 Batch,3rd Year,Active
Kyaw Zin Oo 2,2022-MIIT-ECE-013,kyawzinoo2.ece2022.013@gmail.com,09768000193,ECE,2022 Batch,3rd Year,Active
Su Myat Noe 2,2022-MIIT-ECE-014,sumyatnoe2.ece2022.014@gmail.com,09768000194,ECE,2022 Batch,3rd Year,Active
Htet Aung 2,2022-MIIT-ECE-015,htetaung2.ece2022.015@gmail.com,09768000195,ECE,2022 Batch,3rd Year,Active
Yoon Myat Thu 2,2022-MIIT-ECE-016,yoonmyatthu2.ece2022.016@gmail.com,09768000196,ECE,2022 Batch,3rd Year,Active
Kaung Htet 2,2022-MIIT-ECE-017,kaunghtet2.ece2022.017@gmail.com,09768000197,ECE,2022 Batch,3rd Year,Active
